Unnamed: 0,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Price Level,Vicinity,Location,District
264,Gertrudhof,ChIJD6iYLyIKkEcRiJbvOViVNXA,47.37390070000001,8.5158151,4.6,1031,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Gertrudstrasse 26, Zürich",Gertrudstrasse 26, Zürich
265,La piccola Trattoria,ChIJp9s93iMKkEcRDuRMcwf5l50,47.3738778,8.5137077,4.4,160,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Aemtlerstrasse 86, Zürich",Aemtlerstrasse 86, Zürich
266,Tapas & Friends,ChIJp9s93iMKkEcR8TcVmzuSZKc,47.37382909999999,8.5137609,4.6,190,"['bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2,"Aemtlerstrasse 86, Zürich",Aemtlerstrasse 86, Zürich
267,rémy restaurant-bar,ChIJVzcXaJELkEcR7uhPdc2tlRQ,47.3734463,8.519683299999999,4.8,51,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Kalkbreitestrasse 33, Zürich",Kalkbreitestrasse 33, Zürich
268,Bottega Berta,ChIJ_62N5iMKkEcRjqkWkkiMKhc,47.37410149999999,8.5135446,4.5,204,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Bertastrasse 36, Zürich",Bertastrasse 36, Zürich
269,KIN,ChIJVclbSCULkEcRe__wr3l5hX4,47.3740928,8.518838299999999,4.6,211,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Meinrad-Lienert-Strasse 1, Zürich",Meinrad-Lienert-Strasse 1, Zürich
270,Piratino 2,ChIJSbDV-qoJkEcRBHxJFn6RTfE,47.3646109,8.5105702,3.7,109,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Sieberstrasse 12, Zürich",Sieberstrasse 12, Zürich
271,Pery,ChIJn9FDFx8KkEcR7yxlX7Y0OvI,47.3716997,8.519776799999999,4.6,55,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Zentralstrasse 36, Zürich",Zentralstrasse 36, Zürich
273,Il Basilico Pizzakurier,ChIJfTG69icKkEcRyzgcPuO0GuA,47.3695534,8.5058616,4.0,518,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 364, Zürich",Birmensdorferstrasse 364, Zürich
274,Le Mezzerie de Moudi,ChIJMZH45iMKkEcRkGKzKdLm4fI,47.3740732,8.5135824,4.3,217,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",2,"Bertastrasse 36, Zürich",Bertastrasse 36, Zürich
276,Wirtschaft im Franz,ChIJe9KzPh8KkEcRtF2_80Zz1cQ,47.3722181,8.5197269,4.4,271,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Bremgartnerstrasse 18, Zürich",Bremgartnerstrasse 18, Zürich
277,Piazza,ChIJOTIi0SMKkEcReaJIysQ7lvU,47.373959,8.514556299999999,4.3,261,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",2,"Idaplatz 2, Zürich",Idaplatz 2, Zürich
278,Miki Burgers,ChIJvW-RhycLkEcR9bHrG0knvWQ,47.3744443,8.5182523,3.9,110,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Marienstrasse 17, Zürich",Marienstrasse 17, Zürich
279,Mezzo,ChIJy4IRk_MJkEcRpNkRMhEPWJ4,47.3626335,8.519102199999999,4.2,347,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Eichstrasse 29, Zürich",Eichstrasse 29, Zürich
