,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Price Level,Vicinity
10,Mados,ChIJ2cFix42lmkcR4kbwQITOTZg,47.3490099,8.7159313,4.7,640,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,"Zürichstrasse 7, Uster"
11,Coop Restaurant Winterthur Stadtgarten,ChIJby3Ci3eZmkcR4urYW6dv2ag,47.5008049,8.7257614,3.7,80,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Bankstrasse 8, Winterthur"
12,Büsi,ChIJK4M8H-AKkEcRt_T0si3bPYk,47.4270023,8.5103265,4.6,244,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Bärenbohlstrasse 47, Zürich"
13,Coop Restaurant Zug Neustadt,ChIJX_iC-lCqmkcRIkOs75GKU7A,47.1708869,8.5164146,4.0,140,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Baarerstrasse 6, Zug"
14,Pepito,ChIJBSHpClinmkcRZ0vU2H2FGog,47.36593070000001,8.5467687,3.7,25,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Theaterstrasse 9, Zürich"
15,Summergarte,ChIJxxCxpxoKkEcRqDfwfuwdzK8,47.377167,8.530537299999999,4.6,245,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Militärstrasse 49, Zürich"
16,Restaurant Pizzeria Rhy,ChIJx9xNPTFJkEcRRkpx2eRoHI8,47.5508832,7.9529529,4.5,32,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Rheinbrückstrasse 13, Stein"
17,Differente,ChIJ-RppE3MKkEcRplBfDTGWmIc,47.3881111,8.5390979,4.6,451,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Schaffhauserstrasse 1, Zürich"
18,City Restaurant & Bar,ChIJHY61Beq7mkcRIVdRXHvYIsA,47.3274898,8.8020616,4.2,16,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",0,"Bahnhofstrasse 198, Wetzikon"
19,Die Schützenstube,ChIJr-0tsoulmkcRD6JhEVkxRqE,47.283086,8.640707299999999,4.6,54,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Schützenhausstrasse 31, Meilen"
20,Coop Restaurant Lenzburg,ChIJR2U3biM-kEcRSs8jD48l8YQ,47.3898417,8.1708699,3.9,138,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Augustin Keller-Strasse 31, Lenzburg"
21,Thali House,ChIJgbi8zBMKkEcRO2Spiu4tNzs,47.3831263,8.5300981,4.6,1268,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Langstrasse 213, Zürich"
22,Coop Restaurant Dielsdorf,ChIJLQXNfnpzkEcRyGYCVkyMcnE,47.4839653,8.4660578,4.0,258,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Niederhaslistrasse 5, Dielsdorf"
23,McDonald's Restaurant,ChIJiaZWxrcVkEcRfk-zVNLpplw,47.3894207,8.2050343,4.1,471,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Lenzburgerstrasse 4, Hendschiken"
24,Migros Restaurant,ChIJyfBs2EalmkcRFXlHLsYhB7M,47.3499773,8.7153356,4.2,71,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",2,"Zürichstrasse 20, Uster"
25,Restaurant Enja,ChIJuUU5wugLkEcR5NhbqJ2qVwY,47.3737258,8.5374298,4.4,118,"['restaurant', 'park', 'bar', 'food', 'point_of_interest', 'establishment']",0,"Sihlstrasse 9, Zürich"
26,Saigon,ChIJ4ZzajgQKkEcRkiUUiNl6VyA,47.3730058,8.532774700000001,4.4,1079,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Sihlstrasse 97, Zürich"
27,Restaurant Aabächli,ChIJ_y2Uw6armkcRtb2sQH6QP_Y,47.1743126,8.510537099999999,3.5,10,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Aabachstrasse 5, Zug"
28,Zentral,ChIJg1meUK8LkEcR-McuGFEVf_g,47.3799986,8.543270699999999,4.8,76,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Stampfenbachstrasse 40, Zürich"
29,YUKA - Restaurant & Bar,ChIJf7cLCGoLkEcRp-nqgMX1-_Y,47.3812052,8.5424122,4.0,21,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Stampfenbachstrasse 60, Zürich"
30,Himalaya-Grill,ChIJAWeHCeugmkcRcla1cYg1_hg,47.387316,8.573873899999999,3.6,19,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Zürichbergstrasse 221, Zürich"
31,McDonald's Restaurant,ChIJnSroCJwHkEcR6mhEhZ63bYU,47.2714789,8.4383351,4.1,214,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Moosbachstrasse 1, Affoltern am Albis"
32,Glogge Egge,ChIJO6xGoQYKkEcR3L8U0fsGoMw,47.37290489999999,8.5365208,4.3,126,"['bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",2,"Sihlstrasse 31, Zürich"
33,Restaurant Taj Mahal,ChIJLaXyHPr7j0cRIrczQb0Q5GI,47.0563592,8.3101655,4.3,8,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Zürichstrasse 5, Luzern"
