,Place Name,Place ID,Latitude,Longitude,Rating,User Ratings Total,Types,Price Level,Vicinity
245,Meister Gao,ChIJ6VSr92UKkEcRPMLEA8JNvIY,47.3973029,8.532267599999999,4.4,197,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Rötelstrasse 125, Zürich"
246,Tramblu,ChIJO20mGGUKkEcRccWs-mNC0Ek,47.39839629999999,8.5361771,4.7,160,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Bucheggstrasse 103, Zürich"
247,Sushi Dining Ototo,ChIJF4QNpW4KkEcRkFt_whIYdAQ,47.3925732,8.5308195,4.6,161,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Nordstrasse 199, Zürich"
248,Bebos,ChIJeWWQb14LkEcRC_sOxKLecGw,47.3897261,8.5219734,4.8,1556,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Hardstrasse 310, Zürich"
249,Burgermeister Escherwyss,ChIJl_roH6ILkEcRlO0VYUmaVNc,47.3900349,8.5222682,4.3,859,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Hardstrasse 316, Zürich"
250,Nordbrücke,ChIJL1PWR2kKkEcRXo_Cz2BA8EY,47.3933386,8.5294512,4.4,625,"['cafe', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",2,"Dammstrasse 58, Zürich"
251,Am Damm,ChIJfUtYO2sKkEcR5NOiqUzIfXk,47.3883857,8.526479,4.7,21,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Dammweg 6, Zürich"
252,Costa Brava,ChIJHRtC32oKkEcR4smxnTizITU,47.3884769,8.5256554,4.6,297,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 267, Zürich"
253,Kitchen Republic Zürich-West,ChIJ0SegmxuhmkcRxYpP8ERCUtE,47.3889408,8.5222619,4.4,474,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 239, Zürich"
254,Wurst & Moritz,ChIJFWaUMkAKkEcRsn-E7jkauPE,47.3901512,8.5223141,4.4,1042,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Hardstrasse 318, Zürich"
255,Libanes Take-Away,ChIJi4hHCnEKkEcRQHlzxL7YHcE,47.3929049,8.5393326,4.6,515,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Schaffhauserstrasse 74, Zürich"
256,KUMO6,ChIJidJlvWUKkEcRTrtdIFn9jpU,47.3979734,8.533761799999999,4.7,49,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Bucheggpl., Zürich"
257,Tacos Plaza,ChIJi0_p1EEKkEcR7LCLv60d1kM,47.3903024,8.5229505,3.9,454,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Limmatstrasse 317, Zürich"
258,Spaghetti Pomodoro,ChIJfUqc00EKkEcRGVd4dZ0E2vU,47.3903283,8.522816299999999,4.0,653,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Hardstrasse 324, Zürich"
259,The Butcher,ChIJD3RIGEAKkEcR5sp9CoR-nEo,47.3887106,8.5221901,4.1,936,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 239, Zürich"
260,Tacos & Chile,ChIJo-b9gfoLkEcRta2q9Db9vEk,47.3903024,8.5229505,3.8,128,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 317, Zürich"
261,Limmathof,ChIJ8ZyNTGsKkEcR3EEVNIgXwyw,47.3875324,8.5273518,4.5,245,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Limmatstrasse 217, Zürich"
262,Don Weber,ChIJ_5GXzWoKkEcR4_b1SxT7cYw,47.3878575,8.5244445,4.3,721,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 213, Zürich"
263,Don paco,ChIJcUxAAHALkEcRrIfL59C8098,47.3884769,8.5256557,4.9,61,"['liquor_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 267, Zürich"
264,Nooch Asian Kitchen Steinfels Zürich,ChIJyxjjDEAKkEcRpPZ0Vwvz-as,47.3886254,8.521213399999999,4.3,1461,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 267, Zürich"
265,Cucina Milchbuck,ChIJLRgPfXAKkEcRjHJG0BFcOZE,47.395835,8.5399418,4.2,467,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Schaffhauserstrasse 113, Zürich"
266,Markthalle,ChIJzfXvJGsKkEcRXdxK_k7BqT4,47.3876624,8.5260853,4.3,1898,"['cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Limmatstrasse 231, Zürich"
267,Differente,ChIJ-RppE3MKkEcRplBfDTGWmIc,47.3881111,8.5390979,4.6,451,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Schaffhauserstrasse 1, Zürich"
268,Edi's,ChIJ4xFjC3MKkEcRYqRroSDM1Nw,47.3886743,8.539310799999999,4.9,213,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,"Schaffhauserstrasse 10, Zürich"
269,Banh Mi,ChIJxZuHJmsKkEcRA_DAbMyzTfc,47.3882916,8.5259895,4.8,157,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 259, Zürich"
270,Negishi Sushi Bar @ Kitchen Republic Zürich-West,ChIJ9XFNNaMLkEcRFoVRp-zNp2E,47.3889408,8.5222619,3.9,17,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Heinrichstrasse 239, Zürich"
271,Alpenrose,ChIJ5TIRVRMKkEcRxW3YNi-LVps,47.3871525,8.5285003,4.7,441,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Fabrikstrasse 12, Zürich"
272,Anna,ChIJlZ_TxAgLkEcREiINkuafAdc,47.39928039999999,8.5400434,4.9,665,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Anna-Heer-Strasse 2, Zürich"
273,Moudi's Lecker Cafe,ChIJk6nZanMKkEcR2T6p2MEBW2Q,47.3878822,8.539208100000002,4.5,358,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Kronenstrasse 48, Zürich"
274,Indian BBQ,ChIJ6b4RPIwLkEcRB7Z0SXmTiCQ,47.39312899999999,8.520988,4.7,226,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Breitensteinstrasse 21, Zürich"
275,Gonzalez,ChIJO8kkgHAKkEcRTNFX6ZuN0as,47.39624269999999,8.5403286,4.6,266,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,"Schaffhauserstrasse 121, Zürich"
276,Tokyo Tapas,ChIJ79FwkOQLkEcRccQUXCEv_SQ,47.3877458,8.5262795,4.8,26,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Limmatstrasse 231, Zürich"
277,Bibim Shack - Escher Wyss,ChIJ0fN6AngLkEcRVPN_ts3BNPg,47.39029739999999,8.5226473,4.2,188,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Hardstrasse 322, Zürich"
278,Osteria Centrale,ChIJeY4ysm4KkEcRRr1vBg7RZHI,47.3928626,8.5304611,4.3,187,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Nordstrasse 205, Zürich"
279,4. Akt,ChIJ34KEOUAKkEcRcGOmtvMeyxo,47.3894974,8.5217265,4.0,414,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Heinrichstrasse 262, Zürich"
280,The Artisan,ChIJRaoZN2kKkEcRYIO7pIknqc8,47.3937454,8.5297925,4.3,900,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Nordbrücke 4, Zürich"
281,New Avataar,ChIJx0zlYCYIkEcRSPeTNf1nFUc,47.3938762,8.5311322,4.6,170,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Rütschistrasse 29, Zürich"
282,WAID STATION,ChIJaRuy6VwKkEcRPO7Rieh7U6Q,47.3990041,8.521816099999999,4.8,20,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,Zürich
283,Ristorante La Casa,ChIJsZjJ6nMKkEcRKdrIRFrLNxQ,47.3902016,8.540065,4.4,318,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Riedtlistrasse 2, Zürich"
284,Ambrosi,ChIJh3JxMBUKkEcRA6x0lUy0pDs,47.3870844,8.5243603,4.3,521,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Viaduktstrasse 37, Zürich"
285,Modo,ChIJ7x-QwwQLkEcR4FyQabb5pEQ,47.3931475,8.52195,4.7,103,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Breitensteinstrasse 14, Zürich"
286,Thali,ChIJU2Z5yHMKkEcR30xxkEhXLrU,47.3903311,8.5392156,4.3,464,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Schaffhauserstrasse 32, Zürich"
287,Café des Amis,ChIJm8s4jnIKkEcReH2cc_uIteM,47.3886024,8.5360365,4.3,1142,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Nordstrasse 88, Zürich"
288,Mesob,ChIJWYb8UyAKkEcR_bLiO0wIq3M,47.3708811,8.5147811,4.6,542,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2,"Rotachstrasse 33, Zürich"
289,Ying Cusine Restaurant,ChIJhecDPVsLkEcR4oGhnWgYIQU,47.370562,8.5150259,4.5,8,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 222, Zürich"
290,Chez Loco,ChIJCYp3WS4JkEcRy-bNCjEoumg,47.3689101,8.5036522,4.9,38,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 393, Zürich"
291,Victoria Restaurant,ChIJ5wvu0rwLkEcR4-4iERRKEFI,47.3706502,8.5158201,5.0,3,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 200, Zürich"
292,Liyu Restaurant,ChIJnzVT2kgLkEcRIcuF6yylS4o,47.37049589999999,8.5167456,5.0,85,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 191, Zürich"
293,Grottino,ChIJm2XJzCEKkEcRb-QlPiaei8c,47.3709585,8.5163891,4.4,439,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,"Aemtlerstrasse 11, Zürich"
294,Richie's Chicken,ChIJKfzmKCALkEcRmqKCGR6ynGc,47.3711204,8.516230199999999,4.6,253,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",0,"Aemtlerstrasse 13, Zürich"
295,Pizzeria Bella Napoli,ChIJHf9xGLILkEcRiEtior59bQ8,47.3700701,8.5131081,3.8,43,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Birmensdorferstrasse 249, Zürich"
296,Treffpunkt,ChIJFY_LFicKkEcRFycdhUPPJdw,47.3706597,8.509334899999999,3.9,46,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Gutstrasse 10, Zürich"
297,Schiwago,ChIJGaZNbccLkEcRGbQjew2cLb4,47.3723102,8.5103824,4.5,77,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"Bertastrasse 76, Zürich"
